DATE,TEMP_INT,TEMP_EXT,TEMP_USR,VAL_FAN,VAL_RES;
Mon Jan 23 00:17:35 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:36 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:37 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:38 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:39 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:40 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:41 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:42 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:43 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:44 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:45 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:46 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:47 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:48 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:49 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:50 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:51 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:52 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:53 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:54 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:55 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:56 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:57 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:58 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:17:59 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:00 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:01 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:02 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:03 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:04 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:05 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:06 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:07 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:08 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:09 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:10 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:11 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:12 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:13 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:14 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:15 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:16 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:17 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:18 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:19 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:20 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:21 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:22 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:23 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:24 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:25 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:26 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:27 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:28 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:29 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:30 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:31 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:32 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:33 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:34 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:35 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:36 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:37 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:38 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:39 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:40 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:41 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:42 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:43 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:44 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:45 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:46 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:47 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:48 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:49 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:50 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:51 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:52 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:53 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:54 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:55 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:56 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:57 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:58 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:18:59 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:00 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:01 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:02 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:03 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:04 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:05 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:06 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:07 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:08 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:09 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:10 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:11 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:12 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:13 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:14 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:15 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:16 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:17 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:18 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:19 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:20 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:21 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:22 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:23 2023,0.00,0.00,0.00,0,0
Mon Jan 23 00:19:24 2023,0.00,23.04,-1.00,0,0
Mon Jan 23 00:19:25 2023,0.00,23.04,-1.00,0,0
Mon Jan 23 00:19:26 2023,-1.00,23.04,-1.00,0,0
Mon Jan 23 00:19:27 2023,-1.00,23.04,0.00,0,0
Mon Jan 23 00:19:28 2023,-1.00,23.04,0.00,0,0
Mon Jan 23 00:19:29 2023,-1.00,23.04,0.00,0,0
Mon Jan 23 00:19:30 2023,52.00,23.04,0.00,100,0
Mon Jan 23 00:19:31 2023,52.00,23.04,0.00,100,0
Mon Jan 23 00:19:32 2023,52.00,23.04,0.00,100,0
Mon Jan 23 00:19:33 2023,51.75,23.04,0.00,100,0
Mon Jan 23 00:19:34 2023,51.75,23.04,60.00,100,0
Mon Jan 23 00:19:35 2023,51.75,23.04,60.00,100,0
Mon Jan 23 00:19:36 2023,51.38,23.04,60.00,0,100
Mon Jan 23 00:19:37 2023,51.38,23.03,-1.00,0,100
Mon Jan 23 00:19:38 2023,51.38,23.03,-1.00,0,100
Mon Jan 23 00:19:39 2023,51.38,23.03,-1.00,0,100
Mon Jan 23 00:19:40 2023,50.94,23.03,-1.00,100,0
Mon Jan 23 00:19:41 2023,50.94,23.03,-1.00,100,0
Mon Jan 23 00:19:42 2023,50.94,23.03,-1.00,100,0
Mon Jan 23 00:19:43 2023,50.50,23.03,-1.00,100,0
Mon Jan 23 00:19:44 2023,50.50,23.04,-1.00,100,0
